,cit_dis_sch,school,district,city,enroll_act,testtakers_act,reading_act,english_act,math_act,science_act,num_above21_act,pct_above21_act,enroll_sat,testtakers_sat,num_erw_benchmark_sat,pct_erw_benchmark_sat,num_math_benchmark_sat,pct_math_benchmark_sat,num_tot_benchmark_sat,pct_tot_benchmark_sat,act_participation,sat_participation
3,43696664333795.0,Abraham Lincoln High,San Jose Unified,Santa Clara,463.0,53.0,23.0,22.0,22.0,23.0,34.0,0.6415,463.0,160.0,128.0,0.8,83.0,0.5188,80.0,0.5,0.11447084233261338,0.34557235421166305
4,19647331935121.0,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,226.0,19.0,21.0,20.0,23.0,22.0,11.0,0.5789,226.0,127.0,65.0,0.5118,43.0,0.3386,39.0,0.3071,0.084070796460177,0.5619469026548672
5,19769680109926.0,Academia Avance Charter,SBE - Academia Avance Charter,Los Angeles,65.0,33.0,15.0,15.0,17.0,16.0,3.0,0.0909,65.0,42.0,15.0,0.3571,6.0,0.1429,5.0,0.119,0.5076923076923077,0.6461538461538462
6,19647330126615.0,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles,126.0,16.0,18.0,18.0,18.0,17.0,5.0,0.3125,126.0,48.0,23.0,0.4792,12.0,0.25,11.0,0.2292,0.12698412698412698,0.38095238095238093
7,19642460126003.0,Academies of the Antelope Valley,Antelope Valley Union High,Los Angeles,14.0,1.0,22.08,21.2,21.42,21.36,0.55,0.55,14.0,1.0,1.0,0.6836,0.0,0.4786,0.0,0.4529,0.07142857142857142,0.07142857142857142
8,38684780119958.0,Academy (The)- SF @McAteer,San Francisco Unified,San Francisco,84.0,9.0,22.08,21.2,21.42,21.36,4.95,0.55,84.0,50.0,22.0,0.44,11.0,0.22,10.0,0.2,0.10714285714285714,0.5952380952380952
9,36750773631207.0,Academy for Academic Excellence,Apple Valley Unified,San Bernardino,97.0,13.0,22.08,21.2,21.42,21.36,7.15,0.55,97.0,53.0,48.0,0.9057,30.0,0.566,29.0,0.5472,0.13402061855670103,0.5463917525773195
10,19647330126573.0,Academy for Multilingual Arts and Science at Mervyn M. Dymally High,Los Angeles Unified,Los Angeles,141.0,10.0,22.08,21.2,21.42,21.36,5.5,0.55,141.0,31.0,6.0,0.1935,2.0,0.0645,2.0,0.0645,0.07092198581560284,0.2198581560283688
11,36677360116723.0,Academy of Careers and Exploration,Helendale Elementary,San Bernardino,63.0,5.0,22.08,21.2,21.42,21.36,2.75,0.55,63.0,18.0,15.0,0.8333,5.0,0.2778,5.0,0.2778,0.07936507936507936,0.2857142857142857
12,19647330126623.0,Academy of Medical Arts at Carson High,Los Angeles Unified,Los Angeles,126.0,14.0,22.08,21.2,21.42,21.36,7.7,0.55,126.0,53.0,35.0,0.6604,17.0,0.3208,15.0,0.283,0.1111111111111111,0.42063492063492064
